strain	accession	type	subtype	year	database
A/Perth/200/2008	EPI_ISL_22973	A	H1N1	2008	GISAID
A/Peru/1169/2007	EPI_ISL_20489	A	H1N1	2007	GISAID
A/Peru/1621/1999	EPI_ISL_1753	A	H1N1	1999	GISAID
A/Peru/1798/1999	EPI_ISL_1752	A	H1N1	1999	GISAID
A/Poitiers/2168/2003	EPI_ISL_11948	A	H1N1	2003	GISAID
A/Rabat/109/2009	EPI_ISL_65489	A	H1N1	2008	GISAID
A/Reunion/1409/2003	EPI_ISL_100337	A	H1N1	2003	GISAID
A/RheinlandPfalz/34/2003	FJ231790	A	H1N2	2003	IRD
A/Seychelles/2239/2008	EPI_ISL_60835	A	H1N1	2008	GISAID
A/Shenzhen/227/1995	EPI_ISL_3464	A	H1N1	1995	GISAID
A/Siena/10/1989	EPI_ISL_27596	A	H1N1	1989	GISAID
A/Siena/9/1989	EPI_ISL_27634	A	H1N1	1989	GISAID
A/Singapore/10/2009	EPI_ISL_60091	A	H1N1	2009	GISAID
A/Singapore/6/1986	EPI_ISL_6905	A	H1N1	1986	GISAID
A/SolomonIslands/3/2006	EU124177	A	H1N1	2006	IRD
A/SouthDakota/6/2007	EPI_ISL_15444	A	H1N1	2007	GISAID
A/Stockholm/13/2002	AJ457909	A	H1N2	2002	IRD
A/StPetersburg/10/2007	EPI_ISL_28439	A	H1N1	2007	GISAID
A/StPetersburg/12/2008	EPI_ISL_25796	A	H1N1	2008	GISAID
A/StPetersburg/49/2003	EPI_ISL_22333	A	H1N1	2003	GISAID
A/StPetersburg/5/2008	EPI_ISL_23882	A	H1N1	2008	GISAID
A/Switzerland/3100/2002	AJ517813	A	H1N2	2002	IRD
A/Taiwan/1/1986	EPI_ISL_10251	A	H1N1	1986	GISAID
A/Texas/36/1991	AY289927	A	H1N1	1991	IRD
A/Texas/5/2007	EPI_ISL_13693	A	H1N1	2007	GISAID
A/Thessaloniki/24/2005	EPI_ISL_100334	A	H1N1	2005	GISAID
A/Tula/5/2007	EPI_ISL_20434	A	H1N1	2007	GISAID
A/Ulaanbaatar/116/2007	EPI_ISL_20326	A	H1N1	2007	GISAID
A/Ulaanbaatar/2212/2007	EPI_ISL_20424	A	H1N1	2007	GISAID
A/USSR/90/1977	EPI_ISL_66105	A	H1N1	1977	GISAID
A/USSR/92/1977	EPI_ISL_5134	A	H1N1	1977	GISAID
A/Wisconsin/13/2009	EPI_ISL_34744	A	H1N1	2009	GISAID
A/Zagreb/1982/2008	FJ654325	A	H1N1	2008	IRD
